title,description,similarity_score
Business Intelligence Analysts,Business Intelligence Analysts Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,0.07817318393129313
Self-Enrichment Education Teachers,"Self-Enrichment Education Teachers Teach or instruct courses other than those that normally lead to an occupational objective or degree. Courses may include self-improvement, nonvocational, and nonacademic subjects. Teaching may or may not take place in a traditional educational institution.",0.0765122062890296
"Middle School Teachers, Except Special and Career/Technical Education","Middle School Teachers, Except Special and Career/Technical Education Teach students in one or more subjects in public or private schools at the middle, intermediate, or junior high level, which falls between elementary and senior high school as defined by applicable laws and regulations.",0.07595584876757155
"Special Education Teachers, Preschool","Special Education Teachers, Preschool Teach preschool school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.",0.07475387123937552
Zoologists and Wildlife Biologists,"Zoologists and Wildlife Biologists Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats.",0.07412264878953974
"Business Operations Specialists, All Other","Business Operations Specialists, All Other All business operations specialists not listed separately.",0.07300762325448361
Cartographers and Photogrammetrists,"Cartographers and Photogrammetrists Collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data. Research, study, and prepare maps and other spatial data in digital or graphic form for legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems.",0.07167350146181707
Healthcare Social Workers,"Healthcare Social Workers Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family care givers, providing patient education and counseling, and making referrals for other services. May also provide care and case management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.",0.0702062277417797
Nurse Anesthetists,"Nurse Anesthetists Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",0.0696557051864913
Computer Operators,"Computer Operators Monitor and control electronic computer and peripheral electronic data processing equipment to process business, scientific, engineering, and other data according to operating instructions. Monitor and respond to operating and error messages. May enter commands at a computer terminal and set controls on computer and peripheral devices.",0.06929997469433298
"Career/Technical Education Teachers, Middle School","Career/Technical Education Teachers, Middle School Teach occupational, career and technical, or vocational subjects in public or private schools at the middle, intermediate, or junior high level, which falls between elementary and senior high school as defined by applicable laws and regulations.",0.0690485225629323
"Clinical, Counseling, and School Psychologists","Clinical, Counseling, and School Psychologists Diagnose and treat mental disorders; learning disabilities; and cognitive, behavioral, and emotional problems, using individual, child, family, and group therapies. May design and implement behavior modification programs.",0.06878555451943277
"Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education Instruct preschool-aged children in activities designed to promote social, physical, and intellectual growth needed for primary school in preschool, day care center, or other child development facility. May be required to hold State certification.",0.06798919514727916
Computer and Information Systems Managers,"Computer and Information Systems Managers Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",0.06702528373029296
Geophysical Data Technicians,"Geophysical Data Technicians Measure, record, or evaluate geological data, using sonic, electronic, electrical, seismic, or gravity-measuring instruments to prospect for oil or gas. May collect or evaluate core samples or cuttings.",0.06684177795114596
Precision Agriculture Technicians,"Precision Agriculture Technicians Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather.",0.06650440495484478
Document Management Specialists,"Document Management Specialists Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",0.06546198331670086
"Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education Teach elemental natural and social science, personal hygiene, music, art, and literature to kindergarten students. Promote physical, mental, and social development. May be required to hold State certification.",0.06501171200025666
Audio-Visual and Multimedia Collections Specialists,"Audio-Visual and Multimedia Collections Specialists Prepare, plan, and operate multimedia teaching aids for use in education. May record, catalogue, and file materials.",0.06471263355462009
"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.06465726994994848
Human Factors Engineers and Ergonomists,"Human Factors Engineers and Ergonomists Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",0.06437336039918773
Biomedical Engineers,"Biomedical Engineers Apply knowledge of engineering, biology, and biomechanical principles to the design, development, and evaluation of biological and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",0.06433412183009753
"Recreation and Fitness Studies Teachers, Postsecondary","Recreation and Fitness Studies Teachers, Postsecondary Teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.06431576323306908
Nurse Practitioners,"Nurse Practitioners Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",0.06380356921366825
Emergency Management Directors,"Emergency Management Directors Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",0.06359773556038917
Aerospace Engineering and Operations Technicians,"Aerospace Engineering and Operations Technicians Operate, install, calibrate, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.",0.06324196789780129
"Bookkeeping, Accounting, and Auditing Clerks","Bookkeeping, Accounting, and Auditing Clerks Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",0.06258350122342504
Physician Assistants,"Physician Assistants Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",0.060978997075908925
Computer Systems Analysts,"Computer Systems Analysts Analyze science, engineering, business, and other data processing problems to implement and improve computer systems. Analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities, workflow, and scheduling limitations. May analyze or recommend commercially available software.",0.06057861240413106
Electrical and Electronic Engineering Technicians,"Electrical and Electronic Engineering Technicians Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, calibrate, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.",0.06053548952718206
"Home Economics Teachers, Postsecondary","Home Economics Teachers, Postsecondary Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.0596386246981826
"Credit Authorizers, Checkers, and Clerks","Credit Authorizers, Checkers, and Clerks Authorize credit charges against customers' accounts. Investigate history and credit standing of individuals or business establishments applying for credit. May interview applicants to obtain personal and financial data; determine credit worthiness; process applications; and notify customers of acceptance or rejection of credit.",0.05949142460941374
Industrial Safety and Health Engineers,"Industrial Safety and Health Engineers Plan, implement, and coordinate safety programs, requiring application of engineering principles and technology, to prevent or correct unsafe environmental working conditions.",0.05910025889820703
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.05893558228477816
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists Provide therapy to patients with visual impairments to improve their functioning in daily life activities. May train patients in activities such as computer use, communication skills, or home management skills.",0.05775846748028479
Mental Health and Substance Abuse Social Workers,"Mental Health and Substance Abuse Social Workers Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education.",0.057238359697014476
Geographic Information Systems Technicians,"Geographic Information Systems Technicians Assist scientists, technologists, or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",0.05654252821887969
Chief Sustainability Officers,"Chief Sustainability Officers Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",0.05652128327686261
Biofuels/Biodiesel Technology and Product Development Managers,"Biofuels/Biodiesel Technology and Product Development Managers Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",0.056326447446486703
Credit Checkers,Credit Checkers Investigate history and credit standing of individuals or business establishments applying for credit. Telephone or write to credit departments of business and service establishments to obtain information about applicant's credit standing.,0.05631702607973431
Occupational Health and Safety Technicians,"Occupational Health and Safety Technicians Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.",0.05619311702081142
Credit Analysts,Credit Analysts Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decision making.,0.05610200985869433
Automotive Engineers,"Automotive Engineers Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",0.05535672060670778
Architectural and Engineering Managers,"Architectural and Engineering Managers Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",0.05533157027469854
Chief Executives,"Chief Executives Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",0.05506705459513046
Computer Systems Engineers/Architects,"Computer Systems Engineers/Architects Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",0.054704931415512456
"Agricultural Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.054202878573363165
Statisticians,"Statisticians Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",0.05387407553154183
Telecommunications Engineering Specialists,"Telecommunications Engineering Specialists Design or configure voice, video, and data communications systems. Supervise installation and post-installation service and maintenance.",0.05352264779378015
Community Health Workers,"Community Health Workers Assist individuals and communities to adopt healthy behaviors. Conduct outreach for medical personnel or health organizations to implement programs in the community that promote, maintain, and improve individual and community health. May provide information on available resources, provide social support and informal counseling, advocate for individuals and community health needs, and provide services such as first aid and blood pressure screening. May collect data to help identify community health needs.",0.05303353458130495
Mathematicians,"Mathematicians Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",0.05297218700071346
Wind Energy Project Managers,"Wind Energy Project Managers Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",0.05275237880423618
Electrical Engineering Technologists,"Electrical Engineering Technologists Assist electrical engineers in such activities as process control, electrical power distribution, or instrumentation design. May prepare layouts of electrical transmission or distribution systems, supervise the flow of work, estimate project costs, or participate in research studies.",0.05271700640582246
"Computer Science Teachers, Postsecondary","Computer Science Teachers, Postsecondary Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.052615172894656136
Environmental Engineers,"Environmental Engineers Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",0.05253928505961477
Administrative Services Managers,"Administrative Services Managers Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.",0.05240152357344098
Farm and Home Management Advisors,"Farm and Home Management Advisors Advise, instruct, and assist individuals and families engaged in agriculture, agricultural-related processes, or home economics activities. Demonstrate procedures and apply research findings to solve problems; and instruct and train in product development, sales, and the use of machinery and equipment to promote general welfare. Includes county agricultural agents, feed and farm management advisors, home economists, and extension service advisors.",0.05204807964908113
"Educational, Guidance, School, and Vocational Counselors","Educational, Guidance, School, and Vocational Counselors Counsel individuals and provide group educational and vocational guidance services.",0.051673619818916126
Instructional Coordinators,"Instructional Coordinators Develop instructional material, coordinate educational content, and incorporate current technology in specialized fields that provide guidelines to educators and instructors for developing curricula and conducting courses. Includes educational consultants and specialists, and instructional material directors.",0.051433775419410604
Solar Energy Systems Engineers,"Solar Energy Systems Engineers Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.",0.05100535255542092
Logistics Engineers,"Logistics Engineers Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",0.05099873128749673
Search Marketing Strategists,"Search Marketing Strategists Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",0.050772754709683066
Surveying and Mapping Technicians,"Surveying and Mapping Technicians Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps.",0.050488912763110565
Technical Directors/Managers,"Technical Directors/Managers Coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs.",0.05019079371988616
Range Managers,"Range Managers Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",0.04973382766101902
Chemists,Chemists Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.,0.049629432396924106
"Billing, Cost, and Rate Clerks","Billing, Cost, and Rate Clerks Compile data, compute fees and charges, and prepare invoices for billing purposes. Duties include computing costs and calculating rates for goods, services, and shipment of goods; posting data; and keeping other relevant records. May involve use of computer or typewriter, calculator, and adding and bookkeeping machines.",0.04961606292989238
Marketing Managers,"Marketing Managers Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",0.04954811268739423
Choreographers,Choreographers Create new dance routines. Rehearse performance of routines. May direct and stage presentations.,0.048683085459854586
Bioinformatics Technicians,"Bioinformatics Technicians Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",0.04805855267015574
Economists,"Economists Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.",0.04681609722268207
Sales Engineers,"Sales Engineers Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",0.046706532559590605
Counseling Psychologists,"Counseling Psychologists Assess and evaluate individuals' problems through the use of case history, interview, and observation and provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment.",0.046133641437296175
"Political Science Teachers, Postsecondary","Political Science Teachers, Postsecondary Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.04598948442352877
Business Continuity Planners,"Business Continuity Planners Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event.",0.045891527865687995
"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",0.04586874276415212
Transportation Planners,"Transportation Planners Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations.",0.04558922235867751
Credit Counselors,"Credit Counselors Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explaining loan requirements or restrictions. May help develop debt management plans, advise on credit issues, or provide budget, mortgage, and bankruptcy counseling.",0.045574293506543906
Agricultural Technicians,Agricultural Technicians Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments.,0.04502217318631096
Aircraft Launch and Recovery Officers,"Aircraft Launch and Recovery Officers Plan and direct the operation and maintenance of catapults, arresting gear, and associated mechanical, hydraulic, and control systems involved primarily in aircraft carrier takeoff and landing operations. Duties include supervision of readiness and safety of arresting gear, launching equipment, barricades, and visual landing aid systems; planning and coordinating the design, development, and testing of launch and recovery systems; preparing specifications for catapult and arresting gear installations; evaluating design proposals; determining handling equipment needed for new aircraft; preparing technical data and instructions for operation of landing aids; and training personnel in carrier takeoff and landing procedures.",0.04426207129915668
Agricultural Engineers,"Agricultural Engineers Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",0.04401721420452096
Sustainability Specialists,"Sustainability Specialists Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.",0.043086532059152305
Solar Sales Representatives and Assessors,"Solar Sales Representatives and Assessors Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",0.043086108921628764
Computer Network Architects,"Computer Network Architects Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",0.042517151016244634
General and Operations Managers,"General and Operations Managers Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.",0.0424735985526898
"Court, Municipal, and License Clerks","Court, Municipal, and License Clerks Perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus. May prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; and record data, administer tests, or collect fees.",0.04209285419764718
